Step,14b,8b,4b,1.7b
0,0.7839272175890827,0.6360879454131918,0.5602729340409401,0.5549658832448825
1,0.7930250189537529,,,
2,0.8013646702047005,,,
3,0.8218347232752085,,,
4,0.8332069749810462,0.7740712661106899,0.7748294162244125,0.5860500379075056
5,0.8407884761182715,,,
6,0.8514025777103866,,,
7,0.849128127369219,,,
8,0.8514025777103866,0.8574677786201668,0.8377558756633814,0.6133434420015162
9,0.869598180439727,,,
10,0.8642911296436695,,,
11,0.8673237300985596,,,
12,0.8726307808946171,0.8991660348749052,0.8438210765731615,0.6588324488248674
13,0.8658074298711145,,,
14,0.8733889310083397,,,
15,0.8764215314632298,,,
16,0.8733889310083397,0.9037149355572404,0.8551933282789992,0.686125852918878
17,0.8771796815769523,,,
18,0.8877937831690674,,,
19,0.8840030326004549,,,
20,0.8953752843062927,0.9082638362395754,0.8627748294162244,0.7475360121304018
21,0.8946171341925702,,,
22,0.9029567854435178,,,
23,0.9075056861258529,,,
24,0.9067475360121304,0.9067475360121304,0.8923426838514026,0.7680060652009097
25,0.9181197877179682,,,
26,0.9173616376042456,,,
27,0.9211523881728583,,,
28,0.9272175890826384,0.910538286580743,0.9021986353297953,0.7862016679302501
29,0.9272175890826384,,,
30,0.9272175890826384,,,
31,0.9294920394238059,,,
32,0.9332827899924185,0.909021986353298,0.9029567854435178,0.7877179681576952
33,0.9257012888551933,,,
34,0.9287338893100834,,,
35,0.9317664897649734,,,
36,0.9317664897649734,0.9143290371493555,0.9082638362395754,0.800606520090978
37,0.9302501895375285,,,
38,0.935557240333586,,,
39,0.9325246398786959,,,
40,0.9279757391963609,0.909021986353298,0.9075056861258529,0.8059135708870356
41,0.9294920394238059,,,
42,0.935557240333586,,,
43,0.9363153904473086,,,
44,0.935557240333586,0.9166034874905231,0.909021986353298,0.8028809704321456
45,0.9378316906747536,,,
46,0.9393479909021987,,,
47,0.9416224412433661,,,
48,0.9378316906747536,0.9173616376042456,0.910538286580743,0.8180439727065959
49,0.9363153904473086,,,
50,0.9393479909021987,,,
51,0.9325246398786959,,,
52,0.9370735405610311,0.9173616376042456,0.9097801364670205,0.8180439727065959
53,0.9370735405610311,,,
54,0.9378316906747536,,,
